#,Register Address,Register Name,Default Value,R/W Property,Register Description
#,addr = 0x00,CDMAControl,,,
,[31:24],IRQDelay,8'h00,r/w,Interrupt Delay Timeout. This value is used for setting
,,,,,the interrupt delay timeout value. The interrupt timeout
,,,,,is a mechanism for causing the CDMA engine to generate
,,,,,an interrupt after the delay time period has expired.
,,,,,Timer begins counting at the end of a packet and resets
,,,,,with the receipt of a new packet or a timeout event
,,,,,occurs
,[23:16],IRQThreshold,8'h01,r/w,Interrupt Threshold. This value is used for setting the
,,,,,"interrupt threshold. When IOC interrupt events occur, an"
,,,,,internal counter counts down from the Interrupt
,,,,,"Threshold setting. When the count reaches zero, an"
,,,,,interrupt out is generated by the DMA engine
,15,Reserved,1'h0,ro,Writing to this bit has no effect and it is always read as
,,,,,zeros
,14,Err_IrqEn,1'h0,r/w,"Error Interrupt Enable. When set to 1, it allows the"
,,,,,CDMASR.Err_Irq to generate an interrupt out.
,,,,,0 = Error Interrupt disabled
,,,,,1 = Error Interrupt enabled
,13,Dly_IrqEn,1'h0,r/w,"Delay Timer Interrupt Enable. When set to 1, it allows"
,,,,,CDMASR.Dly_Irq to generate an interrupt out. This is only
,,,,,used with Scatter Gather assisted transfers.
,,,,,0 = Delay Interrupt disabled
,,,,,1 = Delay Interrupt enabled
,12,IOC_IrqEn,1'h0,r/w,"Complete Interrupt Enable. When set to 1, it allows"
,,,,,CDMASR.IOC_Irq to generate an interrupt out for
,,,,,completed DMA transfers.
,,,,,0 = IOC Interrupt disabled
,,,,,1 = IOC Interrupt enabled
,[11:7],Reserved,5'h00,ro,Writing to these bits has no effect and they are always
,,,,,read as zeros
,6,Cyclic_BD_Enable,1'h0,r/w,"When set to 1, you can use the CDMA in Cyclic Buffer"
,,,,,Descriptor (BD) mode without any user intervention. In
,,,,,"this mode, the Scatter Gather module ignores the"
,,,,,"Completed bit of the BD. With this feature, you can use"
,,,,,the same BDs in cyclic manner without worrying about
,,,,,any errors.
,,,,,This bit should be set before updating the TAILDESC
,,,,,register. Changing this bit while the transfer is in progress
,,,,,will generate undefined results
,5,Key_Hole_Write,1'h0,r/w,Writing 1 to this enables the keyhole write (FIXED address
,,,,,AXI transaction). This value should not be changed when
,,,,,a transfer is in progress. This value should remain
,,,,,constant until all the descriptors are processed (for SG =
,,,,,1). CDMA shows unexpected behavior if this value is
,,,,,changed in the middle of a transfer. It is the responsibility
,,,,,of the slave device to enforce the functionality. When
,,,,,"enabling Key Hole operation, the MAX BURST LENGTH"
,,,,,should be set to 16
,4,Key_Hole_Read,1'h0,r/w,Writing 1 to this enables the keyhole read (FIXED address
,,,,,AXI transaction). This value should not be changed when
,,,,,a transfer is in progress. This value should remain
,,,,,constant until all the descriptors are processed (for SG =
,,,,,1). CDMA shows unexpected behavior if this value is
